,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
422,GeForce GT 520,325,1941,1.07,$304.00*
423,GeForce GT 520M,284,1976,9.51,$29.95*
424,GeForce GT 520MX,284,1977,,
425,GeForce GT 525M,452,1826,,
426,GeForce GT 530,666,1550,13.6,$49.00*
427,GeForce GT 540M,477,1799,5.43,$87.95*
428,GeForce GT 545,1114,1216,20.06,$55.59*
429,GeForce GT 550M,569,1681,,
430,GeForce GT 555M,652,1568,3.68,$177.20*
431,GeForce GT 610,325,1940,2.33,$139.99*
432,GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,368,1900,,
433,GeForce GT 620,383,1882,2.49,$154.00*
434,GeForce GT 620M,430,1849,,
435,GeForce GT 625,368,1901,,
436,GeForce GT 625M,484,1787,,
437,GeForce GT 630,688,1530,4.68,$147.01*
438,GeForce GT 630M,526,1737,,
439,GeForce GT 635,815,1412,12.18,$66.94*
440,GeForce GT 635M,549,1706,,
441,GeForce GT 640,1166,1194,10.61,$109.99*
442,GeForce GT 640M,931,1326,,
443,GeForce GT 640M LE,700,1519,0.82,$849.99*
444,GeForce GT 645,2005,890,,
445,GeForce GT 645M,940,1318,,
446,GeForce GT 650M,1195,1183,,
447,GeForce GT 705,355,1913,1.2,$296.76*
448,GeForce GT 710,621,1606,2.49,$249.99*
449,GeForce GT 710M,433,1846,,
450,GeForce GT 720,657,1561,6.58,$99.99*
451,GeForce GT 720A,573,1678,,
452,GeForce GT 720M,444,1838,,
453,GeForce GT 730,820,1406,8.08,$101.49*
454,GeForce GT 730A,742,1480,,
455,GeForce GT 730M,808,1418,,
456,GeForce GT 735M,654,1565,,
457,GeForce GT 740,1458,1096,6.16,$236.99*
458,GeForce GT 740A,667,1548,,
459,GeForce GT 740M,788,1430,,
460,GeForce GT 745A,1237,1164,,
461,GeForce GT 745M,1097,1224,,
462,GeForce GT 750M,1331,1132,,
463,GeForce GT 755M,1724,989,,
464,GeForce GT 820M,547,1708,,
465,GeForce GT625M,451,1830,,
466,GeForce GTS 150M,504,1766,,
467,GeForce GTS 160M,678,1538,,
468,GeForce GTS 240,549,1704,8.46,$64.99*
469,GeForce GTS 250,579,1663,6.73,$86.06*
470,GeForce GTS 250M,553,1699,,
471,GeForce GTS 350M,380,1888,,
472,GeForce GTS 360M,644,1579,,
473,GeForce GTS 450,1327,1134,9.89,$134.23*
474,GeForce GTX 1050,5027,480,21.04,$239.00*
475,GeForce GTX 1050 (Mobile),4462,527,,
476,GeForce GTX 1050 3GB,5105,472,,
477,GeForce GTX 1050 Ti,6343,382,9.08,$699.00
478,GeForce GTX 1050 Ti (Mobile),5917,406,,
479,GeForce GTX 1050 Ti with Max-Q Design,5302,452,,
480,GeForce GTX 1050 with Max-Q Design,3992,564,,
481,GeForce GTX 1060,10083,259,30.57,$329.80*
482,GeForce GTX 1060 (Mobile),8160,315,,
483,GeForce GTX 1060 3GB,9804,264,41.64,$235.47*
484,GeForce GTX 1060 5GB,9100,286,18.65,$487.99*
485,GeForce GTX 1060 with Max-Q Design,7855,328,,
486,GeForce GTX 1070,13500,178,27.14,$497.48*
487,GeForce GTX 1070 (Mobile),10465,251,,
488,GeForce GTX 1070 Ti,14670,156,25.74,$569.99*
489,GeForce GTX 1070 with Max-Q Design,9848,261,,
490,GeForce GTX 1080,15585,137,35.2,$442.79*
491,GeForce GTX 1080 Ti,18601,94,38.45,$483.82*
492,GeForce GTX 1080 with Max-Q Design,11464,234,,
493,GeForce GTX 1630,4977,484,26.2,$189.99*
494,GeForce GTX 1650,7886,326,37.56,$209.99*
495,GeForce GTX 1650 (Mobile),6968,359,,
496,GeForce GTX 1650 SUPER,10185,256,42.44,$239.99*
497,GeForce GTX 1650 Ti,7526,345,,
498,GeForce GTX 1650 Ti with Max-Q Design,6533,375,,
499,GeForce GTX 1650 with Max-Q Design,6249,385,,
500,GeForce GTX 1660,11656,230,34.29,$339.90*
501,GeForce GTX 1660 SUPER,12699,200,38.48,$329.99
502,GeForce GTX 1660 Ti,12875,193,34.42,$374.10
503,GeForce GTX 1660 Ti (Mobile),10136,257,,
504,GeForce GTX 1660 Ti with Max-Q Design,8563,302,,
505,GeForce GTX 260,1205,1178,4.22,$285.78*
506,GeForce GTX 260M,380,1887,,
507,GeForce GTX 275,1379,1115,3.2,$431.72*
508,GeForce GTX 280,1277,1151,2.44,$522.78*
509,GeForce GTX 280M,575,1673,,
510,GeForce GTX 285,1500,1083,12.51,$119.99*
511,GeForce GTX 285M,636,1589,,
512,GeForce GTX 295,1200,1182,7.51,$159.99*
513,GeForce GTX 460,2276,813,25.29,$89.99*
514,GeForce GTX 460 SE,1992,898,12.46,$159.99*
515,GeForce GTX 460 v2,1954,916,9.77,$199.99*
516,GeForce GTX 460M,1214,1174,,
517,GeForce GTX 465,2653,731,13.61,$195.00*
518,GeForce GTX 470,3140,662,52.35,$59.99*
519,GeForce GTX 470M,1953,918,,
520,GeForce GTX 480,4106,555,24.16,$169.99*
521,GeForce GTX 480M,1617,1034,,
522,GeForce GTX 485M,2359,789,,
523,GeForce GTX 550 Ti,1559,1058,15.6,$99.99*
524,GeForce GTX 555,1588,1047,,
525,GeForce GTX 560,2772,708,13.53,$205.00*
526,GeForce GTX 560 SE,1847,953,20.53,$89.99*
527,GeForce GTX 560 Ti,3067,670,23.59,$129.99*
528,GeForce GTX 560M,1266,1153,,
529,GeForce GTX 570,3918,567,26.13,$149.99*
530,GeForce GTX 570M,1877,940,,
531,GeForce GTX 580,4634,513,9.49,$488.59*
532,GeForce GTX 580M,2074,868,8.34,$248.68*
533,GeForce GTX 590,3341,631,7.68,$435.00*
534,GeForce GTX 645,1880,938,,
535,GeForce GTX 650,1751,979,12.18,$143.80*
536,GeForce GTX 650 Ti,2521,757,27.1,$93.05*
537,GeForce GTX 650 Ti BOOST,3397,627,,
538,GeForce GTX 660,4029,561,23.99,$167.95*
539,GeForce GTX 660 Ti,4399,535,30.55,$144.00*
540,GeForce GTX 660M,6239,387,78.98,$78.99*
541,GeForce GTX 670,5353,448,27.6,$193.98*
