,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
1715,Radeon HD 8210,195,2079,,
1716,Radeon HD 8210E,193,2081,,
1717,Radeon HD 8240,246,2019,,
1718,Radeon HD 8250,212,2058,,
1719,Radeon HD 8280,260,2002,,
1720,Radeon HD 8280E,256,2009,,
1721,Radeon HD 8280G,269,1994,,
1722,Radeon HD 8310E,340,1924,,
1723,Radeon HD 8330,270,1992,,
1724,Radeon HD 8330E,262,2001,,
1725,Radeon HD 8350,162,2124,1.63,$99.81*
1726,Radeon HD 8350G,258,2007,,
1727,Radeon HD 8370D,316,1953,,
1728,Radeon HD 8400,272,1989,,
1729,Radeon HD 8400E,275,1987,,
1730,Radeon HD 8410G,435,1845,,
1731,Radeon HD 8450G,333,1931,,
1732,Radeon HD 8450G + 8600/8700M Dual,1070,1239,,
1733,Radeon HD 8450G + 8600M Dual,545,1714,,
1734,Radeon HD 8450G + 8670M Dual,474,1803,,
1735,Radeon HD 8450G + 8750M Dual,637,1587,,
1736,Radeon HD 8450G + HD 8600M Dual,452,1827,,
1737,Radeon HD 8450G + HD 8670M Dual,477,1797,,
1738,Radeon HD 8450G + HD 8750M Dual,503,1769,,
1739,Radeon HD 8450G + R5 M230 Dual,578,1666,,
1740,Radeon HD 8470,247,2017,,
1741,Radeon HD 8470D,376,1893,,
1742,Radeon HD 8470D + 6450 Dual,717,1505,,
1743,Radeon HD 8470D + 6570 Dual,837,1384,,
1744,Radeon HD 8470D + HD 6450 Dual,862,1367,,
1745,Radeon HD 8470D + HD 6670 Dual,1435,1100,,
1746,Radeon HD 8470D + HD 7500 Dual,1545,1063,,
1747,Radeon HD 8490,263,2000,2.93,$89.99*
1748,Radeon HD 8500M,441,1841,,
1749,Radeon HD 8500M/8700M,852,1375,,
1750,Radeon HD 8510G,372,1896,,
1751,Radeon HD 8510G + 8500M Dual,596,1637,,
1752,Radeon HD 8510G + HD 8500M Dual,629,1598,,
1753,Radeon HD 8550D,566,1684,,
1754,Radeon HD 8550G,417,1860,,
1755,Radeon HD 8550G + 7600M Dual,901,1343,,
1756,Radeon HD 8550G + 8500M Dual,602,1634,,
1757,Radeon HD 8550G + 8570M Dual,532,1732,,
1758,Radeon HD 8550G + 8600/8700M Dual,802,1421,,
1759,Radeon HD 8550G + 8600M Dual,617,1613,,
1760,Radeon HD 8550G + 8670M Dual,579,1662,,
1761,Radeon HD 8550G + 8690M Dual,664,1554,,
1762,Radeon HD 8550G + 8750M Dual,795,1426,,
1763,Radeon HD 8550G + HD 7600M Dual,547,1709,,
1764,Radeon HD 8550G + HD 8500M Dual,558,1694,,
1765,Radeon HD 8550G + HD 8570M Dual,529,1735,,
1766,Radeon HD 8550G + HD 8600/8700M Dual,654,1566,,
1767,Radeon HD 8550G + HD 8600M Dual,593,1642,,
1768,Radeon HD 8550G + HD 8670M Dual,546,1713,,
1769,Radeon HD 8550G + HD 8750M Dual,819,1408,,
1770,Radeon HD 8550G + R5 M200 Dual,619,1610,,
1771,Radeon HD 8550G + R5 M230 Dual,487,1781,,
1772,Radeon HD 8550G N HD 8550G + HD 8600M N HD 8600M D,611,1623,,
1773,Radeon HD 8570,944,1315,9.57,$98.68*
1774,Radeon HD 8570 + 8670D Dual,620,1607,,
1775,Radeon HD 8570 + HD 7660D Dual,949,1307,,
1776,Radeon HD 8570D,432,1847,,
1777,Radeon HD 8570D + 6570 Dual,1239,1162,,
1778,Radeon HD 8570D + 6670 Dual,1039,1258,,
1779,Radeon HD 8570D + HD 6570 Dual,868,1364,,
1780,Radeon HD 8570D + HD 6670 Dual,1260,1158,,
1781,Radeon HD 8570D + HD 7000 Dual,753,1468,,
1782,Radeon HD 8570D + HD 7700 Dual,1834,958,,
1783,Radeon HD 8570D + HD 8470 Dual,338,1926,,
1784,Radeon HD 8570D + HD 8570 Dual,1032,1260,,
1785,Radeon HD 8570D + HD8490 Dual,374,1894,,
1786,Radeon HD 8570D + R5 235 Dual,470,1808,,
1787,Radeon HD 8570D + R7 200 Dual,999,1283,,
1788,Radeon HD 8570D + R7 240 Dual,963,1303,,
1789,Radeon HD 8570M,449,1834,,
1790,Radeon HD 8600/8700M,1029,1262,,
1791,Radeon HD 8610G,405,1870,,
1792,Radeon HD 8610G + 8500M Dual,610,1626,,
1793,Radeon HD 8610G + 8600M Dual,588,1647,,
1794,Radeon HD 8610G + 8670M Dual,599,1635,,
1795,Radeon HD 8610G + HD 8500M Dual,645,1578,,
1796,Radeon HD 8610G + HD 8600M Dual,480,1789,,
1797,Radeon HD 8610G + HD 8670M Dual,577,1667,,
1798,Radeon HD 8610G + R5 M200 Dual,676,1541,,
1799,Radeon HD 8650D,396,1877,,
1800,Radeon HD 8650G,515,1752,,
1801,Radeon HD 8650G + 7600M Dual,741,1481,,
1802,Radeon HD 8650G + 7670M Dual,883,1355,,
1803,Radeon HD 8650G + 7700M Dual,1126,1212,,
1804,Radeon HD 8650G + 8500M Dual,626,1604,,
1805,Radeon HD 8650G + 8570M Dual,654,1567,,
1806,Radeon HD 8650G + 8600/8700M Dual,831,1393,,
1807,Radeon HD 8650G + 8600M Dual,613,1621,,
1808,Radeon HD 8650G + 8670M Dual,635,1591,,
1809,Radeon HD 8650G + 8750M Dual,786,1431,,
1810,Radeon HD 8650G + HD 7600M Dual,819,1407,,
1811,Radeon HD 8650G + HD 7670M Dual,634,1592,,
1812,Radeon HD 8650G + HD 8570M Dual,716,1508,,
1813,Radeon HD 8650G + HD 8600/8700M Dual,763,1457,,
1814,Radeon HD 8650G + HD 8600M Dual,606,1629,,
1815,Radeon HD 8650G + HD 8600M N HD 8600M Dual,757,1464,,
1816,Radeon HD 8650G + HD 8670M Dual,585,1655,,
1817,Radeon HD 8650G + HD 8750M Dual,651,1569,,
1818,Radeon HD 8650G + HD 8790M Dual,799,1423,,
1819,Radeon HD 8650G + R5 M200 Dual,722,1500,,
1820,Radeon HD 8650G + R5 M230 Dual,686,1531,,
1821,Radeon HD 8650G N HD 8650G + HD 8570M Dual,773,1446,,
1822,Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual,796,1425,,
1823,Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,679,1536,,
1824,Radeon HD 8670D,536,1726,,
1825,Radeon HD 8670D + 6670 Dual,1361,1124,,
1826,Radeon HD 8670D + 7000 Dual,811,1414,,
1827,Radeon HD 8670D + 7700 Dual,1788,971,,
1828,Radeon HD 8670D + 8570 Dual,974,1297,,
1829,Radeon HD 8670D + HD 6670 Dual,1221,1172,,
1830,Radeon HD 8670D + HD 7000 Dual,718,1504,,
1831,Radeon HD 8670D + HD 7600 Dual,1317,1136,,
1832,Radeon HD 8670D + HD 7700 Dual,1892,934,,
1833,Radeon HD 8670D + R5 235 Dual,836,1387,,
1834,Radeon HD 8670D + R5 330 Dual,746,1475,,
1835,Radeon HD 8670D + R7 200 Dual,949,1306,,
1836,Radeon HD 8670D + R7 240 Dual,1020,1265,,
1837,Radeon HD 8670D N HD 8670D + HD 8670D Dual,488,1780,,
1838,Radeon HD 8670M,520,1748,,
1839,Radeon HD 8690A,511,1755,,
1840,Radeon HD 8690M,984,1291,,
1841,Radeon HD 8730M,809,1416,,
1842,Radeon HD 8750M,1037,1259,,
1843,Radeon HD 8790M,1305,1142,,
1844,Radeon HD 8790M / R9 M290X,1210,1175,,
1845,Radeon HD 8850M,973,1298,,
1846,Radeon HD 8850M / R9 M265X,1139,1206,,
1847,Radeon HD 8870M,1638,1025,,
1848,Radeon HD 8870M / R9 M270X / M370X,1799,970,,
1849,Radeon HD 8950,2825,700,,
1850,Radeon HD 8970M,3876,572,27.69,$139.99*
1851,Radeon HD 8990,5214,460,,
1852,Radeon HD HD7850M,1651,1020,,
1853,Radeon HD4650,239,2023,1.57,$152.90*
1854,Radeon HD4670,365,1904,,
1855,RADEON HD6370D,320,1949,,
1856,RADEON HD6410D,422,1855,,
1857,RADEON HD6530D,531,1734,,
1858,RADEON HD7450,199,2074,8.95,$22.25*
1859,Radeon HD8530M,490,1779,,
1860,Radeon HD8970M,3368,629,,
1861,Radeon HDG 4670,170,2106,,
1862,RADEON IGP 320,3,2672,,
1863,Radeon IGP 320M,3,2679,,
1864,Radeon IGP 340M,2,2715,,
1865,RADEON IGP 345M,2,2704,,
1866,RADEON IGP 34xM,1,2729,,
1867,RADEON IGP 350M,6,2611,,
1868,Radeon Infoshock 3000,106,2255,,
1869,Radeon Instinct MI25 MxGPU,4403,534,,
1870,Radeon M535DX,749,1472,,
1871,Radeon Pro,2365,788,5.52,$428.98
1872,Radeon Pro 450,2722,721,,
1873,Radeon Pro 455,3112,665,6.93,$449.00*
1874,Radeon Pro 460,3452,622,,
1875,Radeon Pro 465,4537,519,,
1876,Radeon Pro 5300,7125,352,,
1877,Radeon Pro 5300M,5921,405,,
1878,Radeon Pro 5500 XT,7881,327,,
1879,Radeon Pro 5500M,6729,368,,
1880,Radeon Pro 555,3140,661,2.99,"$1,049.00*"
1881,Radeon Pro 560,3475,619,,
1882,Radeon Pro 5600M,9278,283,,
1883,Radeon Pro 560X,3677,595,,
1884,Radeon Pro 570,6336,383,,
1885,Radeon Pro 5700,11582,231,,
1886,Radeon Pro 5700 XT,12546,205,,
1887,Radeon Pro 580,7753,332,,
1888,Radeon Pro 580X,7540,344,,
1889,Radeon Pro Duo,8298,311,2.09,"$3,970.36*"
1890,Radeon PRO Ryzen 5 PRO 6650U,4066,558,,
1891,Radeon PRO Ryzen 7 PRO 6850U,5582,424,,
1892,Radeon Pro SSG,10971,241,4.55,"$2,410.15*"
1893,Radeon Pro V340 MxGPU,2853,696,,
1894,Radeon Pro V520 MxGPU,12257,213,,
1895,Radeon Pro V620 MxGPU,15632,134,,
1896,Radeon Pro Vega 16,4809,500,,
1897,Radeon Pro Vega 20,5039,478,,
1898,Radeon Pro Vega 48,11284,239,,
1899,Radeon Pro Vega 56,12353,209,,
1900,Radeon Pro Vega 64,12890,192,,
1901,Radeon Pro Vega 64X,13369,180,,
1902,Radeon Pro Vega II,15596,136,,
1903,Radeon Pro Vega II Duo,14018,165,,
1904,Radeon Pro VII,13098,187,,
1905,Radeon Pro W5500,8977,292,21.9,$409.99*
1906,Radeon Pro W5500M,3469,620,,
1907,Radeon Pro W5500X,7350,349,,
1908,Radeon Pro W5700,14519,158,22.34,$649.99*
1909,Radeon PRO W6300,5559,429,,
1910,Radeon PRO W6400,8044,319,,
1911,Radeon PRO W6600,15370,142,,
1912,Radeon PRO W6600M,11287,238,,
1913,Radeon PRO W6600X,13113,186,,
1914,Radeon PRO W6800,20089,75,10.86,"$1,849.99*"
1915,Radeon PRO W7500,13350,182,,
1916,Radeon PRO W7600,16298,124,,
1917,Radeon PRO W7700,23215,47,,
1918,Radeon PRO W7800,27499,27,,
1919,Radeon PRO W7900,28616,22,,
1920,Radeon Pro WX 2100,1875,941,,
1921,Radeon Pro WX 3100,2624,735,,
1922,Radeon Pro WX 3200,2288,809,12.02,$190.37*
1923,Radeon Pro WX 4100,3687,593,7.38,$499.99*
1924,Radeon Pro WX 4130,1995,895,,
1925,Radeon Pro WX 4150,2574,745,4.22,$610.04*
1926,Radeon Pro WX 4170,2869,695,,
1927,Radeon Pro WX 5100,5493,436,15.26,$359.99*
1928,Radeon Pro WX 7100,7767,329,7.41,"$1,047.99*"
1929,Radeon Pro WX 7130,6779,365,,
1930,Radeon Pro WX 8200,12805,195,8.01,"$1,599.39*"
1931,Radeon Pro WX 9100,12213,214,,
1932,Radeon Pro WX Vega M GL,4814,498,,
1933,Radeon R1E,301,1962,,
1934,Radeon R2,250,2013,,
1935,Radeon R2E,208,2063,,
1936,Radeon R3,312,1957,,
1937,Radeon R3E,224,2039,,
1938,Radeon R4,342,1920,0.86,$396.99*
1939,Radeon R4E,487,1782,,
1940,Radeon R5 220,147,2140,1.73,$85.26*
1941,Radeon R5 230,221,2044,2.74,$81.10*
1942,Radeon R5 235,336,1928,5.59,$60.13*
1943,Radeon R5 235 + HD 7560D Dual,743,1477,,
1944,Radeon R5 235 + HD 8570D Dual,737,1487,,
1945,Radeon R5 235X,277,1985,,
1946,Radeon R5 240,552,1700,6.51,$85.00*
1947,Radeon R5 310,331,1934,0.66,$499.00*
1948,Radeon R5 330,522,1746,1.54,$339.99*
1949,Radeon R5 340,935,1323,,
1950,Radeon R5 420,574,1676,14.39,$39.95*
1951,Radeon R5 430,893,1349,15.14,$59.00*
1952,Radeon R5 435,761,1461,,
1953,Radeon R5 A10-9600P 4C+6G,619,1612,,
1954,"Radeon R5 A10-9600P RADEON R5, 10 COMPUTE CORES 4C",705,1515,,
1955,Radeon R5 A10-9620P 4C+6G,731,1490,,
1956,"Radeon R5 A10-9620P RADEON R5, 10 COMPUTE CORES 4C",656,1562,,
1957,Radeon R5 A10-9630P 4C+6G,977,1294,,
1958,"Radeon R5 A10-9630P RADEON R5, 10 COMPUTE CORES 4C",734,1488,,
1959,Radeon R5 A240,576,1672,,
1960,Radeon R5 A6-7480,704,1518,,
1961,Radeon R5 A6-8500P,586,1653,,
1962,"Radeon R5 A6-9400 RADEON R5, 6 COMPUTE CORES 2C+4G",605,1631,,
1963,Radeon R5 A6-9500 2C+6G,853,1373,,
1964,"Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G",924,1330,,
1965,Radeon R5 A6-9500E 2C+4G,1014,1268,,
1966,"Radeon R5 A6-9500E RADEON R5, 6 COMPUTE CORES 2C+4",692,1525,,
1967,Radeon R5 M230,421,1857,,
1968,Radeon R5 M240,474,1805,,
1969,Radeon R5 M255,544,1716,,
1970,Radeon R5 M315,478,1795,,
1971,Radeon R5 M320,467,1810,,
1972,Radeon R5 M330,595,1638,,
1973,Radeon R5 M335,548,1707,,
1974,Radeon R5 M420,503,1768,,
1975,Radeon R5 M430,648,1573,,
1976,Radeon R5 M435,854,1371,,
1977,Radeon R5 Opteron X3216,415,1861,,
1978,Radeon R5 PRO A10-8730B 4C+6G,695,1523,,
1979,"Radeon R5 PRO A10-8730B R5, 10 COMPUTE CORES 4C+6G",602,1633,,
1980,Radeon R5 PRO A6-8500B 2C+4G,508,1760,,
1981,"Radeon R5 PRO A6-8500B R5, 6 Compute Cores 2C+4G",478,1792,,
1982,Radeon R5 PRO A6-8530B 2C+4G,689,1527,,
1983,"Radeon R5 PRO A6-8530B R5, 6 COMPUTE CORES 2C+4G",463,1817,,
1984,Radeon R5 PRO A6-8570 2C+6G,847,1379,,
1985,"Radeon R5 PRO A6-8570 R5, 8 COMPUTE CORES 2C+6G",978,1293,,
1986,Radeon R5 PRO A6-8570E 2C+4G,637,1585,,
1987,"Radeon R5 PRO A6-8570E R5, 6 COMPUTE CORES 2C+4G",662,1555,,
1988,Radeon R5 PRO A6-9500 2C+6G,1096,1225,,
1989,"Radeon R5 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G",793,1429,,
1990,Radeon R5 PRO A6-9500B 2C+4G,693,1524,,
1991,"Radeon R5 PRO A6-9500B R5, 6 COMPUTE CORES 2C+4G",408,1864,,
1992,Radeon R5 PRO A6-9500E 2C+4G,770,1450,,
1993,Radeon R5 PRO A8-9600B 4C+6G,658,1558,,
1994,"Radeon R5 PRO A8-9600B R5, 10 COMPUTE CORES 4C+6G",578,1665,,
1995,Radeon R5E,315,1955,,
1996,Radeon R6,611,1624,,
1997,Radeon R6 + R7 M265DX Dual,570,1680,,
1998,Radeon R6 A10-8700P,541,1722,,
1999,Radeon R6 A10-9600P 4C+6G,970,1300,,
2000,Radeon R6 A8-8600P,474,1802,,
2001,Radeon R6 M255DX,605,1630,,
2002,Radeon R6 Opteron X3418,955,1304,,
2003,Radeon R6 PRO A10-8700B 4C+6G,538,1724,,
2004,"Radeon R6 PRO A10-8700B R6, 10 Compute Cores 4C+6G",543,1719,,
2005,Radeon R6 PRO A8-8600B 4C+6G,531,1733,,
2006,"Radeon R6 PRO A8-8600B R6, 10 Compute Cores 4C+6G",613,1620,,
2007,Radeon R7 + HD 7700 Dual,1962,910,,
2008,Radeon R7 + R5 330 Dual,1028,1263,,
2009,Radeon R7 + R5 340 Dual,1234,1166,,
2010,Radeon R7 + R5 435 Dual A10-9700 RADEON,885,1353,,
2011,Radeon R7 + R5 Dual,897,1348,,
2012,Radeon R7 + R7 200 Dual,1077,1236,,
2013,Radeon R7 + R7 240 Dual,1045,1255,,
2014,Radeon R7 + R7 250 Dual,1232,1167,,
2015,Radeon R7 + R7 350 Dual,1982,903,,
2016,Radeon R7 +8G,1190,1185,,
2017,Radeon R7 240,900,1345,10.65,$84.56*
2018,Radeon R7 240 + HD 8570D Dual,917,1332,,
2019,Radeon R7 240 + HD 8670D Dual,930,1327,,
2020,Radeon R7 250,1055,1246,10.56,$99.99*
2021,Radeon R7 250X,2268,819,11.7,$194.00*
2022,Radeon R7 260,2891,693,32.13,$89.99*
2023,Radeon R7 260X,3190,654,22.79,$139.99*
2024,Radeon R7 340,1000,1280,,
2025,Radeon R7 360,3135,663,21.48,$145.99*
2026,Radeon R7 370,4486,524,,
2027,Radeon R7 430,1095,1226,7.27,$150.58*
2028,Radeon R7 450,1887,937,6.31,$299.00*
2029,Radeon R7 7850A10-7850K,551,1702,,
2030,Radeon R7 A10 Extreme Edition,821,1404,,
2031,Radeon R7 A10 PRO-7800B,741,1482,,
2032,Radeon R7 A10 PRO-7850B,822,1402,,
2033,Radeon R7 A10-7700K,785,1432,,
2034,Radeon R7 A10-7800,728,1493,,
2035,Radeon R7 A10-7850K,944,1314,,
2036,Radeon R7 A10-7860K,904,1341,,
2037,Radeon R7 A10-7870K,1094,1227,,
2038,Radeon R7 A10-7890K,1001,1279,,
2039,Radeon R7 A10-8750,856,1370,,
2040,Radeon R7 A10-8850,773,1448,,
2041,Radeon R7 A10-9700 RADEON,892,1351,,
2042,Radeon R7 A10-9700E RADEON,872,1360,,
2043,Radeon R7 A12-9700P RADEON,712,1510,1.63,$435.92*
2044,Radeon R7 A12-9720P RADEON,723,1498,1.98,$365.48*
2045,Radeon R7 A12-9730P RADEON,1014,1267,,
2046,Radeon R7 A12-9800 RADEON,1048,1252,,
2047,Radeon R7 A12-9800E RADEON,913,1334,6.56,$139.19*
2048,Radeon R7 A265,993,1287,,
2049,Radeon R7 A360,607,1627,,
2050,Radeon R7 A365,781,1434,,
2051,Radeon R7 A370,1281,1150,,
2052,Radeon R7 A8 PRO-7600B,667,1549,,
2053,Radeon R7 A8-7500,860,1368,,
2054,Radeon R7 A8-7500 4C+6G,853,1374,,
2055,Radeon R7 A8-7600,776,1438,,
2056,Radeon R7 A8-7650K,752,1469,,
2057,Radeon R7 A8-7670K,846,1380,,
2058,Radeon R7 A8-7680,793,1428,,
2059,Radeon R7 A8-8650,912,1335,,
2060,Radeon R7 A8-9600 RADEON,838,1383,,
2061,Radeon R7 FX-8800P,815,1411,,
2062,Radeon R7 FX-9800P RADEON,752,1470,1.42,$530.00*
2063,Radeon R7 FX-9830P RADEON,1368,1118,,
2064,Radeon R7 G,869,1362,,
2065,Radeon R7 M260,524,1742,0.66,$799.00*
2066,Radeon R7 M260DX,816,1410,,
2067,Radeon R7 M260X,1002,1276,,
2068,Radeon R7 M265,536,1725,,
2069,Radeon R7 M265DX,498,1772,,
2070,Radeon R7 M270,766,1455,,
2071,Radeon R7 M340,647,1574,,
2072,Radeon R7 M350,1159,1201,,
2073,Radeon R7 M360,585,1656,,
2074,Radeon R7 M365X,823,1401,,
2075,Radeon R7 M370,1417,1110,,
2076,Radeon R7 M380,1668,1009,,
2077,Radeon R7 M440,899,1347,,
2078,Radeon R7 M445,939,1320,1.26,$744.00*
2079,Radeon R7 M460,1053,1248,,
2080,Radeon R7 M465,1135,1208,,
2081,Radeon R7 M465X,1786,972,,
2082,Radeon R7 Opteron X3421,1135,1207,,
2083,Radeon R7 PRO A10-8750B,776,1439,,
2084,Radeon R7 PRO A10-8770,917,1333,,
2085,Radeon R7 PRO A10-8770E,804,1419,,
2086,Radeon R7 PRO A10-8850B,945,1313,,
2087,Radeon R7 PRO A10-9700,809,1417,,
2088,Radeon R7 PRO A10-9700B,628,1599,,
2089,Radeon R7 PRO A10-9700E,925,1329,1.75,$529.00*
2090,Radeon R7 PRO A12-8800B,619,1611,,
2091,Radeon R7 PRO A12-8830B,579,1661,,
2092,Radeon R7 PRO A12-8870,931,1324,,
2093,Radeon R7 PRO A12-8870E,875,1359,,
2094,Radeon R7 PRO A12-9800,939,1319,,
2095,Radeon R7 PRO A12-9800B,697,1522,,
2096,Radeon R7 PRO A12-9800E,971,1299,,
2097,Radeon R7 PRO A6-9500 2C+6G,781,1433,,
2098,Radeon R7 PRO A8-8650B,723,1497,,
2099,Radeon R7 PRO A8-8670E,1162,1198,,
2100,Radeon R7 PRO A8-9600,837,1385,,
2101,Radeon R7E,564,1688,,
2102,Radeon R8 M365DX,647,1575,,
2103,Radeon R8 M445DX,796,1424,,
2104,Radeon R8 M535DX,670,1547,,
2105,Radeon R9 255,1501,1082,4.36,$344.16*
2106,Radeon R9 260,3047,672,,
2107,Radeon R9 270,4306,544,,
2108,Radeon R9 270 / R7 370,4259,548,19.98,$213.16*
2109,Radeon R9 270X,4872,495,14.92,$326.50*
2110,Radeon R9 280,5539,432,,
2111,Radeon R9 280X,6110,397,,
2112,Radeon R9 285 / 380,5549,430,11.44,$485.00*
2113,Radeon R9 290,8195,313,,
2114,Radeon R9 290 / 390,8150,316,21.45,$380.00*
2115,Radeon R9 290X,8451,305,,
2116,Radeon R9 290X / 390X,8380,308,26.19,$319.99*
2117,Radeon R9 295X2,8681,299,17.39,$499.10*
2118,Radeon R9 350,1988,900,6.65,$299.00*
2119,Radeon R9 360,3031,673,22.64,$133.89*
2120,Radeon R9 370,4722,508,29.51,$159.99*
2121,Radeon R9 380,6044,399,67.17,$89.99*
2122,Radeon R9 380X,6143,394,17.55,$349.99*
2123,Radeon R9 390,8874,294,,
2124,Radeon R9 390X,9335,282,,
2125,Radeon R9 Fury,9539,272,21.53,$443.10*
2126,Radeon R9 Fury + Fury X,9741,265,21.65,$449.99*
2127,Radeon R9 Fury X,9384,279,,
2128,Radeon R9 M265X,1158,1202,,
2129,Radeon R9 M270X,1204,1181,,
2130,Radeon R9 M275,1114,1217,1.59,$699.99*
2131,Radeon R9 M275X,1641,1024,,
2132,Radeon R9 M275X / M375,1574,1052,,
2133,Radeon R9 M280X,813,1413,,
2134,Radeon R9 M290X,3217,651,,
2135,Radeon R9 M295X,5150,467,3.55,"$1,449.00*"
2136,Radeon R9 M360,1823,963,,
2137,Radeon R9 M365X,1481,1093,,
2138,Radeon R9 M370X,1553,1061,1.75,$889.00*
2139,Radeon R9 M375,986,1289,,
2140,Radeon R9 M375X,1733,983,,
2141,Radeon R9 M380,2773,707,,
2142,Radeon R9 M385,2060,873,,
2143,Radeon R9 M385X,1993,897,,
2144,Radeon R9 M390X,3850,576,,
2145,Radeon R9 M395,4929,489,,
2146,Radeon R9 M395X,4889,494,,
2147,Radeon R9 M470,2330,796,,
2148,Radeon R9 M470X,3244,647,,
2149,Radeon R9 M485X,3660,599,,
2150,Radeon RX 460,4094,556,24.55,$166.81*
2151,Radeon RX 470/570,7949,323,20.44,$388.99*
2152,Radeon RX 480,8570,301,25.21,$339.99*
2153,Radeon RX 5300,7587,341,,
2154,Radeon RX 5300M,4815,497,,
2155,Radeon RX 540,2024,885,,
2156,Radeon RX 550,2684,727,15.79,$169.99
2157,Radeon RX 5500,8792,298,,
2158,Radeon RX 5500 XT,9085,288,50.11,$181.29*
2159,Radeon RX 5500M,5834,407,,
2160,Radeon RX 550X,2382,783,,
2161,Radeon RX 560,3668,597,17.03,$215.48
2162,Radeon RX 5600,11725,225,,
2163,Radeon RX 5600 OEM,12210,215,,
2164,Radeon RX 5600 XT,13456,179,24.69,$545.00*
2165,Radeon RX 5600M,8861,295,,
2166,Radeon RX 560X,3406,626,,
2167,Radeon RX 5700,14329,161,46.23,$309.99*
2168,Radeon RX 5700 XT,16292,125,33.36,$488.33*
2169,Radeon RX 5700 XT 50th Anniversary,16402,120,,
2170,Radeon RX 570X,1923,924,6.63,$289.99
2171,Radeon RX 580,8813,296,55.09,$159.99*
2172,Radeon RX 580 2048SP,7654,338,,
2173,Radeon RX 580X,7554,343,,
2174,Radeon RX 590,9353,281,17.01,$549.99*
2175,Radeon RX 6300,5301,453,,
2176,Radeon RX 6300M,6421,380,,
2177,Radeon RX 640,2168,845,,
2178,Radeon RX 6400,7668,335,36.09,$212.47*
2179,Radeon RX 6500,7510,347,,
2180,Radeon RX 6500 XT,9608,269,53.38,$179.99
2181,Radeon RX 6500M,7520,346,,
2182,Radeon RX 6550M,9736,266,,
2183,Radeon RX 6600,15097,148,32.75,$461.01
2184,Radeon RX 6600 LE,15387,140,,
2185,Radeon RX 6600 XT,16467,118,37.43,$439.99*
2186,Radeon RX 6600M,13949,166,38.69,$360.51*
2187,Radeon RX 6600S,12649,201,,
2188,Radeon RX 6650 XT,17148,106,67.44,$254.28*
2189,Radeon RX 6650M,15052,150,,
2190,Radeon RX 6650M XT,17070,109,,
2191,Radeon RX 6700,19160,88,,
2192,Radeon RX 6700 XT,19804,78,20.7,$956.88
2193,Radeon RX 6700M,13543,177,50.16,$269.99*
2194,Radeon RX 6700S,15065,149,50.22,$299.99*
2195,Radeon RX 6750 GRE 10GB,18410,95,,
2196,Radeon RX 6750 GRE 12GB,20169,73,,
2197,Radeon RX 6750 XT,20739,67,51.85,$399.99*
2198,Radeon RX 6800,22093,58,26.48,$834.37*
2199,Radeon RX 6800 XT,24990,40,39.05,$639.99*
2200,Radeon RX 6800M,13269,183,,
2201,Radeon RX 6800S,15907,128,,
2202,Radeon RX 6850M,12274,212,,
2203,Radeon RX 6850M XT,17336,103,,
2204,Radeon RX 6900 XT,26744,33,17.72,"$1,509.67*"
2205,Radeon RX 6950 XT,28077,24,28.57,$982.87
2206,Radeon RX 7600,16581,116,60.3,$274.99
2207,Radeon RX 7600 XT,17112,108,47.54,$359.97
2208,Radeon RX 7600M,12804,196,,
2209,Radeon RX 7600M XT,13702,171,,
2210,Radeon RX 7600S,15426,139,,
2211,Radeon RX 7650 GRE,12899,191,,
2212,Radeon RX 7700 XT,22463,54,42.85,$524.19
2213,Radeon RX 7700S,15653,133,,
2214,Radeon RX 780,7657,337,,
2215,Radeon RX 7800 XT,24224,41,40.37,$599.99
2216,Radeon RX 7800M,16536,117,,
2217,Radeon RX 7900 GRE,27064,29,50.12,$539.99*
2218,Radeon RX 7900 XT,28995,21,41.42,$699.99
2219,Radeon RX 7900 XTX,31201,13,28.36,"$1,100.37"
2220,Radeon RX 7900M,22599,51,,
2221,Radeon RX 9060 XT 16GB,20155,74,53.04,$379.99
2222,Radeon RX 9060 XT 8GB,19375,86,69.2,$279.99
2223,Radeon RX 9070,25372,36,39.04,$649.99
2224,Radeon RX 9070 XT,26810,32,37.24,$719.99
2225,Radeon RX Vega - Renoir Ryzen 3 5300U,2312,801,,
2226,Radeon RX Vega 10,1631,1027,,
2227,Radeon RX Vega 10 Ryzen 7 3700C,1166,1195,,
2228,Radeon RX Vega 10 Ryzen 7 3700U,1476,1094,,
2229,Radeon RX Vega 10 Ryzen 7 3750H,1908,929,,
2230,Radeon RX Vega 10 Ryzen 7 PRO 3700U w/,1507,1079,,
2231,Radeon RX Vega 11,2098,864,2.09,"$1,002.00*"
2232,Radeon RX Vega 11 PRD,2401,777,,
2233,Radeon RX Vega 11 Processor,1766,976,,
2234,Radeon RX Vega 11 Ryzen 5 3350G,1892,933,,
2235,Radeon RX Vega 11 Ryzen 5 3400G,2166,846,,
2236,Radeon RX Vega 11 Ryzen 5 3400GE,1941,922,,
2237,Radeon RX Vega 56,13074,188,17.36,$752.99*
