,name,score
2161,radeon rx 560,3668
2162,radeon rx 5600,11725
2163,radeon rx 5600 oem,12210
2164,radeon rx 5600 xt,13456
2165,radeon rx 5600m,8861
2166,radeon rx 560x,3406
2167,radeon rx 5700,14329
2168,radeon rx 5700 xt,16292
2169,radeon rx 5700 xt 50th anniversary,16402
2170,radeon rx 570x,1923
2171,radeon rx 580,8813
2172,radeon rx 580 2048sp,7654
2173,radeon rx 580x,7554
2174,radeon rx 590,9353
2175,radeon rx 6300,5301
2176,radeon rx 6300m,6421
2177,radeon rx 640,2168
2178,radeon rx 6400,7668
2179,radeon rx 6500,7510
2180,radeon rx 6500 xt,9608
2181,radeon rx 6500m,7520
2182,radeon rx 6550m,9736
2183,radeon rx 6600,15097
2184,radeon rx 6600 le,15387
2185,radeon rx 6600 xt,16467
2186,radeon rx 6600m,13949
2187,radeon rx 6600s,12649
2188,radeon rx 6650 xt,17148
2189,radeon rx 6650m,15052
2190,radeon rx 6650m xt,17070
2191,radeon rx 6700,19160
2192,radeon rx 6700 xt,19804
2193,radeon rx 6700m,13543
2194,radeon rx 6700s,15065
2195,radeon rx 6750 gre 10gb,18410
2196,radeon rx 6750 gre 12gb,20169
2197,radeon rx 6750 xt,20739
2198,radeon rx 6800,22093
2199,radeon rx 6800 xt,24990
2200,radeon rx 6800m,13269
2201,radeon rx 6800s,15907
2202,radeon rx 6850m,12274
2203,radeon rx 6850m xt,17336
2204,radeon rx 6900 xt,26744
2205,radeon rx 6950 xt,28077
2206,radeon rx 7600,16581
2207,radeon rx 7600 xt,17112
2208,radeon rx 7600m,12804
2209,radeon rx 7600m xt,13702
2210,radeon rx 7600s,15426
2211,radeon rx 7650 gre,12899
2212,radeon rx 7700 xt,22463
2213,radeon rx 7700s,15653
2214,radeon rx 780,7657
2215,radeon rx 7800 xt,24224
2216,radeon rx 7800m,16536
2217,radeon rx 7900 gre,27064
2218,radeon rx 7900 xt,28995
2219,radeon rx 7900 xtx,31201
2220,radeon rx 7900m,22599
2221,radeon rx 9060 xt 16gb,20155
2222,radeon rx 9060 xt 8gb,19375
2223,radeon rx 9070,25372
2224,radeon rx 9070 xt,26810
2225,radeon rx vega renoir ryzen 3 5300u,2312
2226,radeon rx vega 10,1631
2227,radeon rx vega 10 ryzen 7 3700c,1166
2228,radeon rx vega 10 ryzen 7 3700u,1476
2229,radeon rx vega 10 ryzen 7 3750h,1908
2230,radeon rx vega 10 ryzen 7 pro 3700u w,1507
2231,radeon rx vega 11,2098
2232,radeon rx vega 11 prd,2401
2233,radeon rx vega 11 processor,1766
2234,radeon rx vega 11 ryzen 5 3350g,1892
2235,radeon rx vega 11 ryzen 5 3400g,2166
2236,radeon rx vega 11 ryzen 5 3400ge,1941
2237,radeon rx vega 56,13074
2238,radeon rx vega 6 ryzen 3 3200u,906
2239,radeon rx vega 64,14047
2240,radeon rx vega 8,1488
2241,radeon rx vega m gh,6584
2242,radeon rx vega m gl,3868
2243,radeon rx vega ryzen 3 5300u,2329
2244,radeon rx vega ryzen 5 5500u,2342
2245,radeon rx vega ryzen 5 5600gt,9558
2246,radeon rx vega ryzen 7 5825u,2916
2247,radeon rx vega11,1605
2248,radeon rx vega11 ryzen 7 3750h,1711
2249,radeon rx vega11 ryzen 7 microsoft surface edition,1420
2250,radeon rx590 gme,8427
2251,radeon ryzen 3 3250u,804
2252,radeon ryzen 3 5300u,1602
2253,radeon ryzen 3 5425u,1570
2254,radeon ryzen 3 7330u,1603
2255,radeon ryzen 3 7335u,2158
2256,radeon ryzen 3 pro 4355ge,1431
2257,radeon ryzen 3 pro 5355ge,1951
2258,radeon ryzen 3 pro 5450u,1701
2259,radeon ryzen 3 pro 5475u,1541
2260,radeon ryzen 3 pro 7330u,1853
2261,radeon ryzen 3 pro 7335u,1992
2262,radeon ryzen 5 3450u,1123
2263,radeon ryzen 5 3550h,1665
2264,radeon ryzen 5 4600ge with radeon,2337
2265,radeon ryzen 5 5500gt,2451
2266,radeon ryzen 5 5500u,2037
2267,radeon ryzen 5 5560u,2034
2268,radeon ryzen 5 5600ge,2418
2269,radeon ryzen 5 5600gt,2424
2270,radeon ryzen 5 5600h,2413
2271,radeon ryzen 5 5600u,2091
2272,radeon ryzen 5 5625u,2112
2273,radeon ryzen 5 6600h,3438
2274,radeon ryzen 5 6600hs creator edition,3752
2275,radeon ryzen 5 6600u,3241
2276,radeon ryzen 5 7430u,2487
2277,radeon ryzen 5 7530u,2217
2278,radeon ryzen 5 7533hs,3523
2279,radeon ryzen 5 7535hs,3101
2280,radeon ryzen 5 7535u,3167
2281,radeon ryzen 5 7600 6 core,1726
